Date,Description,Amount,Type
2026-06-01,Salary credited - Infosys Ltd,85000,Income
2026-06-02,House Rent payment to landlord,22000,Expense
2026-06-03,Blinkit Instant Groceries,1420,Expense
2026-06-04,Bescom Electricity Bill,1850,Expense
2026-06-05,Swiggy Gourmet Dining,840,Expense
2026-06-07,Airtel Broadband Bill,1179,Expense
2026-06-08,Zerodha SIP Mutual Fund,15000,Expense
2026-06-10,Uber Ride to Indiranagar,420,Expense
2026-06-12,Amazon Shopping - Electronics,3499,Expense
2026-06-15,Zomato Food Delivery,620,Expense
2026-06-18,Netflix Subscription,649,Expense
2026-06-20,Apollo Pharmacy Medicine,890,Expense
2026-06-22,Cult.fit Monthly Membership,2100,Expense
2026-06-25,DMart Supermarket Supplies,4350,Expense
2026-06-28,BookMyShow Movie Tickets,750,Expense
2026-07-01,Salary credited - Infosys Ltd,85000,Income
2026-07-02,House Rent payment to landlord,22000,Expense
2026-07-03,Zepto Grocery order,1150,Expense
2026-07-05,Tata Power Electricity,1920,Expense
2026-07-07,Swiggy Lunch Order,480,Expense
2026-07-08,Groww Nifty 50 Index Fund SIP,15000,Expense
2026-07-11,HPCL Petrol Fuel,2500,Expense
2026-07-14,Flipkart Summer Sale Apparel,2800,Expense
2026-07-16,Spotify Premium,119,Expense
2026-07-19,Urban Company AC Service,1299,Expense
2026-07-22,Starbucks Coffee,580,Expense
2026-07-26,Instamart Essentials,1640,Expense
2026-07-29,Credit Card Bill Payment - HDFC,6400,Expense
2026-08-01,Salary credited - Infosys Ltd,85000,Income
2026-08-02,House Rent payment to landlord,22000,Expense
2026-08-03,BigBasket Monthly Grocery,5200,Expense
2026-08-05,Electricity Bescom Bill,1780,Expense
2026-08-06,Swiggy Dinner Delivery,920,Expense
2026-08-08,Zerodha SIP Mutual Fund,15000,Expense
2026-08-10,Ola Cab Airport Ride,850,Expense
2026-08-12,Myntra Wardrobe Sale,3150,Expense
2026-08-14,1mg Healthcare Diagnostic Lab,1400,Expense
2026-08-17,Zomato Weekend Dinner,1250,Expense
2026-08-20,Blinkit Midnight snacks,630,Expense
